geoid,county,region
48001,Anderson,Upper East
48003,Andrews,West Texas
48005,Angelina,Southeast
48007,Aransas,South Texas
48009,Archer,Northwest
48011,Armstrong,High Plains
48013,Atascosa,Alamo
48015,Austin,Gulf Coast
48017,Bailey,High Plains
48019,Bandera,Alamo
48021,Bastrop,Capital
48023,Baylor,Northwest
48025,Bee,South Texas
48027,Bell,Central Texas
48029,Bexar,Alamo
48031,Blanco,Capital
48033,Borden,West Texas
48035,Bosque,Central Texas
48037,Bowie,Upper East
48039,Brazoria,Gulf Coast
48041,Brazos,Central Texas
48043,Brewster,Upper Rio Grande
48045,Briscoe,High Plains
48047,Brooks,South Texas
48049,Brown,Northwest
48051,Burleson,Central Texas
48053,Burnet,Capital
48055,Caldwell,Capital
48057,Calhoun,Alamo
48059,Callahan,Northwest
48061,Cameron,South Texas
48063,Camp,Upper East
48065,Carson,High Plains
48067,Cass,Upper East
48069,Castro,High Plains
48071,Chambers,Gulf Coast
48073,Cherokee,Upper East
48075,Childress,High Plains
48077,Clay,Northwest
48079,Cochran,High Plains
48081,Coke,West Texas
48083,Coleman,Northwest
48085,Collin,Metroplex
48087,Collingsworth,High Plains
48089,Colorado,Gulf Coast
48091,Comal,Alamo
48093,Comanche,Northwest
48095,Concho,West Texas
48097,Cooke,Metroplex
48099,Coryell,Central Texas
48101,Cottle,Northwest
48103,Crane,West Texas
48105,Crockett,West Texas
48107,Crosby,High Plains
48109,Culberson,Upper Rio Grande
48111,Dallam,High Plains
48113,Dallas,Metroplex
48115,Dawson,West Texas
48117,Deaf Smith,High Plains
48119,Delta,Upper East
48121,Denton,Metroplex
48123,DeWitt,Alamo
48125,Dickens,High Plains
48127,Dimmit,South Texas
48129,Donley,High Plains
48131,Duval,South Texas
48133,Eastland,Northwest
48135,Ector,West Texas
48137,Edwards,South Texas
48139,Ellis,Metroplex
48141,El Paso,Upper Rio Grande
48143,Erath,Metroplex
48145,Falls,Central Texas
48147,Fannin,Metroplex
48149,Fayette,Capital
48151,Fisher,Northwest
48153,Floyd,High Plains
48155,Foard,Northwest
48157,Fort Bend,Gulf Coast
48159,Franklin,Upper East
48161,Freestone,Central Texas
48163,Frio,Alamo
48165,Gaines,West Texas
48167,Galveston,Gulf Coast
48169,Garza,High Plains
48171,Gillespie,Alamo
48173,Glasscock,West Texas
48175,Goliad,Alamo
48177,Gonzales,Alamo
48179,Gray,High Plains
48181,Grayson,Metroplex
48183,Gregg,Upper East
48185,Grimes,Central Texas
48187,Guadalupe,Alamo
48189,Hale,High Plains
48191,Hall,High Plains
48193,Hamilton,Central Texas
48195,Hansford,High Plains
48197,Hardeman,Northwest
48199,Hardin,Southeast
48201,Harris,Gulf Coast
48203,Harrison,Upper East
48205,Hartley,High Plains
48207,Haskell,Northwest
48209,Hays,Capital
48211,Hemphill,High Plains
48213,Henderson,Upper East
48215,Hidalgo,South Texas
48217,Hill,Central Texas
48219,Hockley,High Plains
48221,Hood,Metroplex
48223,Hopkins,Upper East
48225,Houston,Southeast
48227,Howard,West Texas
48229,Hudspeth,Upper Rio Grande
48231,Hunt,Metroplex
48233,Hutchinson,High Plains
48235,Irion,West Texas
48237,Jack,Northwest
48239,Jackson,Alamo
48241,Jasper,Southeast
48243,Jeff Davis,Upper Rio Grande
48245,Jefferson,Southeast
48247,Jim Hogg,South Texas
48249,Jim Wells,South Texas
48251,Johnson,Metroplex
48253,Jones,Northwest
48255,Karnes,Alamo
48257,Kaufman,Metroplex
48259,Kendall,Alamo
48261,Kenedy,South Texas
48263,Kent,Northwest
48265,Kerr,Alamo
48267,Kimble,West Texas
48269,King,High Plains
48271,Kinney,South Texas
48273,Kleberg,South Texas
48275,Knox,Northwest
48277,Lamar,Upper East
48279,Lamb,High Plains
48281,Lampasas,Central Texas
48283,La Salle,South Texas
48285,Lavaca,Alamo
48287,Lee,Capital
48289,Leon,Central Texas
48291,Liberty,Gulf Coast
48293,Limestone,Central Texas
48295,Lipscomb,High Plains
48297,Live Oak,South Texas
48299,Llano,Capital
48301,Loving,West Texas
48303,Lubbock,High Plains
48305,Lynn,High Plains
48307,McCulloch,West Texas
48309,McLennan,Central Texas
48311,McMullen,South Texas
48313,Madison,Central Texas
48315,Marion,Upper East
48317,Martin,West Texas
48319,Mason,West Texas
48321,Matagorda,Gulf Coast
48323,Maverick,South Texas
48325,Medina,Alamo
48327,Menard,West Texas
48329,Midland,West Texas
48331,Milam,Central Texas
48333,Mills,Central Texas
48335,Mitchell,Northwest
48337,Montague,Northwest
48339,Montgomery,Gulf Coast
48341,Moore,High Plains
48343,Morris,Upper East
48345,Motley,High Plains
48347,Nacogdoches,Southeast
48349,Navarro,Metroplex
48351,Newton,Southeast
48353,Nolan,Northwest
48355,Nueces,South Texas
